description,type,price,size,bedrooms,parking_spaces,bathrooms,modo
"Rua 21 Sul, Aguas Claras  · Brasília",apartamento,4.031,67 m²,2 quartos,1 vaga,,
"Acampamento Dfl Rua 2, Vila Planalto · Brasília",Apartamento,1.692,28 m²,1 quarto,0 vaga,,
"Rua 34 Norte Lote 04 Edifício Real Flat, Norte (águas Claras) · Brasília",Apartamento,1.912,37 m²,1 quarto,1 vaga,,
"Qr 406 Conjunto 21 A, Samambaia Norte (samambaia) · Brasília",apartamento,1.848,60 m²,3 quartos,1 vaga,,
"Avenida Sibipiruna, Sul (águas Claras) · Brasília",Apartamento,4.591,56 m²,2 quartos,1 vaga,,
"Qe 13 Conjunto E, Guará Ii · Brasília",Casa,3.747,200 m²,3 quartos,2 vagas,,
"55 - St. D Norte Qnd 55 - Taguatinga Brasília - Df 72120-550 Brasil, Qnd 55 · Brasília",apartamento,,42 m²,1 quarto,1 vaga,,
"Chácara 97, Setor Habitacional Samambaia (taguatinga) · Brasília",Studio,,25 m²,2 quartos,0 vaga,,
"Sgan 911 Bloco E Apt 09 Asa Norte, Brasília - Df, Brasil, Asa Norte · Brasília",apartamento,1.773,30 m²,1 quarto,1 vaga,,
"Csa 03, Taguatinga Sul (taguatinga) · Brasília",Apartamento,772,55 m²,2 quartos,0 vaga,,
"Alameda dos Eucaliptos Quadra 107, Norte (águas Claras) · Brasília",Apartamento,2.582,76 m²,3 quartos,1 vaga,,
"Rua Copaíba, Norte (águas Claras) · Brasília",Apartamento,2.145,36 m²,1 quarto,1 vaga,,
"Quadra Qi 24, Qi 24 · Brasília",apartamento,4.249,48 m²,2 quartos,1 vaga,,
"Rua Copaíba, Brasília Df · Brasília",apartamento,2.277,33 m²,1 quarto,1 vaga,,
"Qi 24, Setor Industrial (taguatinga) · Brasília",Apartamento,2.848,45 m²,2 quartos,1 vaga,,
"Qs 5 Praça 310 A, Qs 5 · Brasília",Apartamento,2.856,73 m²,2 quartos,1 vaga,,
"Sgcv Lote 13 Vista Park Sul Hplus Long Stay, Guará · Brasília",apartamento,2.386,29 m²,1 quarto,1 vaga,,
"Octogonal Aos 1 - Área Octogonal Brasília - Df 70660-010 Brasil, Aos 1 · Brasília",Apartamento,2.040,70 m²,2 quartos,1 vaga,,
"Cln Quadra 314, Asa Norte · Brasília",Studio,2.259,16 m²,1 quarto,0 vaga,,
"Cln 314 Bloco D, Asa Norte · Brasília",Studio,5.670,21 m²,1 quarto,0 vaga,,
"Rua 34 Norte, Sul (águas Claras) · Brasília",apartamento,1.381,43 m²,1 quarto,1 vaga,,
"Rua 10 B, Setor Habitacional Vicente Pires  · Brasília",Apartamento,1.609,27 m²,1 quarto,0 vaga,,
"Núcleo Rural Córrego do Urubu Nr. 85 At Chácara  Araguaia Ii Lago Norte Brasília - Df Brasil, Lago Norte · Brasília",casa,2.339,170 m²,2 quartos,3 vagas,,
"Rua 18, Guará Ii · Brasília",Apartamento,1.493,50 m²,2 quartos,0 vaga,,
"Rua 8, Vila São José (taguatinga) · Brasília",Studio,4.877,30 m²,1 quarto,0 vaga,,
"Rua 19, Águas Claras · Brasília",apartamento,1.197,60 m²,2 quartos,1 vaga,,
